,No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM2.5
21304,21305,2012,6,6,16,2,19.0,78.24,1006.1,23.0,cv,2.0,0.0,0.0,99.0
21305,21306,2012,6,6,17,2,20.0,83.25,1005.1,23.0,cv,4.0,0.0,0.0,99.0
21306,21307,2012,6,6,18,2,20.0,83.25,1005.1,23.0,SW,2.0,0.0,0.0,125.0
21307,21308,2012,6,6,19,2,20.0,88.45,1005.1,22.0,SW,4.0,0.0,0.0,146.0
21308,21309,2012,6,6,20,2,20.0,88.45,1005.1,22.0,SW,5.0,0.0,0.0,161.0
21309,21310,2012,6,6,21,2,20.0,88.45,1006.1,22.0,cv,0.0,0.0,0.0,174.0
21310,21311,2012,6,6,22,2,20.0,94.03,1007.1,21.0,cv,0.0,0.0,0.0,155.0
21311,21312,2012,6,6,23,2,19.0,88.37,1007.1,21.0,cv,1.0,0.2,0.2,3.0
21312,21313,2012,6,7,0,2,19.0,88.37,1007.1,21.0,cv,2.0,0.8,1.0,117.0
21313,21314,2012,6,7,1,2,19.0,88.37,1007.1,21.0,cv,3.0,2.0,3.0,113.0
21314,21315,2012,6,7,2,2,19.0,88.37,1007.1,21.0,cv,3.0,0.6,3.6,108.0
21315,21316,2012,6,7,3,2,19.0,93.98,1007.1,20.0,cv,5.0,0.0,0.0,87.0
21316,21317,2012,6,7,4,2,19.0,93.98,1007.1,20.0,SW,2.0,0.3,0.3,85.0
21317,21318,2012,6,7,5,2,19.0,93.98,1007.1,20.0,SW,4.0,0.0,0.0,70.0
21318,21319,2012,6,7,6,2,19.0,93.98,1007.1,20.0,cv,2.0,0.0,0.0,59.0
21319,21320,2012,6,7,7,2,18.0,93.94,1008.1,19.0,SW,3.0,0.0,0.0,59.0
21320,21321,2012,6,7,8,2,18.0,93.94,1008.1,19.0,SW,6.0,0.0,0.0,44.0
21321,21322,2012,6,7,9,2,19.0,93.98,1009.1,20.0,cv,2.0,0.0,0.0,45.0
21324,21325,2012,6,7,12,2,17.0,54.39,1008.1,27.0,cv,5.0,0.0,0.0,16.0
21325,21326,2012,6,7,13,2,16.0,51.05,1008.1,27.0,cv,7.0,0.0,0.0,15.0
21326,21327,2012,6,7,14,2,17.0,48.42,1007.1,29.0,SE,2.0,0.0,0.0,20.0
21327,21328,2012,6,7,15,2,17.0,48.42,1007.1,29.0,cv,1.0,0.0,0.0,14.0
21328,21329,2012,6,7,16,2,16.0,45.44,1006.1,29.0,cv,2.0,0.0,0.0,13.0
21329,21330,2012,6,7,17,2,17.0,45.72,1006.1,30.0,SE,3.0,0.0,0.0,17.0
21330,21331,2012,6,7,18,2,16.0,45.44,1005.1,29.0,cv,1.0,0.0,0.0,9.0
21331,21332,2012,6,7,19,2,18.0,54.65,1006.1,28.0,SW,2.0,0.0,0.0,17.0
21332,21333,2012,6,7,20,2,19.0,65.41,1006.1,26.0,SW,4.0,0.0,0.0,6.0
21333,21334,2012,6,7,21,2,20.0,78.39,1007.1,24.0,SE,2.0,0.0,0.0,1.0
21334,21335,2012,6,7,22,2,18.0,69.2,1007.1,24.0,SE,4.0,0.0,0.0,2.0
21335,21336,2012,6,7,23,2,19.0,78.24,1007.1,23.0,cv,1.0,0.0,0.0,7.0
21336,21337,2012,6,8,0,2,19.0,83.13,1008.1,22.0,SW,2.0,0.0,0.0,6.0
21337,21338,2012,6,8,1,2,19.0,78.24,1007.1,23.0,cv,2.0,0.0,0.0,19.0
21338,21339,2012,6,8,2,2,18.0,73.5,1007.1,23.0,cv,4.0,0.0,0.0,14.0
21339,21340,2012,6,8,3,2,19.0,83.13,1007.1,22.0,SW,1.0,0.0,0.0,15.0
21340,21341,2012,6,8,4,2,19.0,83.13,1007.1,22.0,cv,0.0,0.0,0.0,8.0
21341,21342,2012,6,8,5,2,19.0,83.13,1007.1,22.0,cv,0.0,0.0,0.0,10.0
21342,21343,2012,6,8,6,2,20.0,88.45,1007.1,22.0,cv,0.0,0.0,0.0,6.0
21343,21344,2012,6,8,7,2,20.0,94.03,1007.1,21.0,cv,0.0,0.0,0.0,9.0
21344,21345,2012,6,8,8,2,20.0,88.45,1008.1,22.0,cv,0.0,0.0,0.0,22.0
21345,21346,2012,6,8,9,2,20.0,83.25,1008.1,23.0,cv,1.0,0.0,0.0,3.0
21346,21347,2012,6,8,10,2,20.0,78.39,1008.1,24.0,cv,1.0,0.0,0.0,2.0
21347,21348,2012,6,8,11,2,20.0,78.39,1008.1,24.0,cv,1.0,0.0,0.0,13.0
21348,21349,2012,6,8,12,2,20.0,78.39,1008.1,24.0,cv,2.0,0.0,0.0,7.0
21349,21350,2012,6,8,13,2,19.0,65.41,1008.1,26.0,cv,3.0,0.0,0.0,11.0
21350,21351,2012,6,8,14,2,19.0,65.41,1007.1,26.0,NE,2.0,0.0,0.0,11.0
21351,21352,2012,6,8,15,2,19.0,61.67,1006.1,27.0,NE,4.0,0.0,0.0,6.0
21352,21353,2012,6,8,16,2,19.0,58.17,1006.1,28.0,NE,7.0,0.0,0.0,12.0
21353,21354,2012,6,8,17,2,18.0,54.65,1006.1,28.0,SE,3.0,0.0,0.0,8.0
21354,21355,2012,6,8,18,2,19.0,61.67,1006.1,27.0,cv,2.0,0.0,0.0,6.0
21355,21356,2012,6,8,19,2,19.0,65.41,1006.1,26.0,SE,1.0,0.0,0.0,18.0
21356,21357,2012,6,8,20,2,20.0,73.84,1007.1,25.0,SW,1.0,0.0,0.0,17.0
21357,21358,2012,6,8,21,2,20.0,73.84,1007.1,25.0,SW,3.0,0.0,0.0,18.0
21358,21359,2012,6,8,22,2,21.0,83.37,1008.1,24.0,cv,0.0,0.0,0.0,9.0
21359,21360,2012,6,8,23,2,20.0,83.25,1008.1,23.0,SW,1.0,0.0,0.0,8.0
21360,21361,2012,6,9,0,2,20.0,83.25,1008.1,23.0,cv,0.0,0.5,0.5,4.0
21362,21363,2012,6,9,2,2,21.0,88.54,1007.1,23.0,SW,4.0,1.3,1.9,2.0
21363,21364,2012,6,9,3,2,20.0,94.03,1007.1,21.0,cv,2.0,0.8,2.7,19.0
21364,21365,2012,6,9,4,2,19.0,88.37,1007.1,21.0,SW,1.0,0.6,3.3,11.0
21365,21366,2012,6,9,5,2,19.0,88.37,1007.1,21.0,cv,0.0,0.5,3.8,9.0
21366,21367,2012,6,9,6,2,19.0,88.37,1006.1,21.0,cv,2.0,0.4,4.2,5.0
21367,21368,2012,6,9,7,2,19.0,88.37,1007.1,21.0,cv,4.0,0.0,0.0,5.0
21368,21369,2012,6,9,8,2,19.0,88.37,1007.1,21.0,cv,4.0,0.0,0.0,2.0
21370,21371,2012,6,9,10,2,20.0,83.25,1007.1,23.0,cv,4.0,0.0,0.0,1.0
21371,21372,2012,6,9,11,2,20.0,78.39,1007.1,24.0,SW,2.0,0.0,0.0,3.0
21372,21373,2012,6,9,12,2,19.0,65.41,1006.1,26.0,cv,2.0,0.0,0.0,6.0
21373,21374,2012,6,9,13,2,17.0,48.42,1005.1,29.0,SW,1.0,0.0,0.0,5.0
21374,21375,2012,6,9,14,2,16.0,42.9,1004.1,30.0,SW,3.0,0.0,0.0,7.0
21375,21376,2012,6,9,15,2,17.0,48.42,1004.1,29.0,SW,6.0,0.0,0.0,4.0
21376,21377,2012,6,9,16,2,17.0,43.18,1003.1,31.0,SE,2.0,0.0,0.0,9.0
21377,21378,2012,6,9,17,2,15.0,40.24,1002.0,30.0,SW,3.0,0.0,0.0,9.0
21378,21379,2012,6,9,18,2,16.0,45.44,1002.0,29.0,SW,6.0,0.0,0.0,8.0
21379,21380,2012,6,9,19,2,17.0,51.31,1002.0,28.0,SW,8.0,0.0,0.0,5.0
21380,21381,2012,6,9,20,2,18.0,54.65,1002.0,28.0,SW,10.0,0.0,0.0,4.0
21381,21382,2012,6,9,21,2,18.0,57.93,1003.1,27.0,SW,12.0,0.0,0.0,7.0
21382,21383,2012,6,9,22,2,20.0,65.62,1003.1,27.0,SW,14.0,0.0,0.0,7.0
21383,21384,2012,6,9,23,2,20.0,69.6,1003.1,26.0,cv,1.0,0.0,0.0,4.0
21384,21385,2012,6,10,0,2,20.0,73.84,1003.1,25.0,SW,2.0,0.0,0.0,10.0
21385,21386,2012,6,10,1,2,20.0,73.84,1002.0,25.0,cv,1.0,0.1,0.1,9.0
21386,21387,2012,6,10,2,2,21.0,83.37,1002.0,24.0,cv,2.0,0.0,0.0,20.0
21387,21388,2012,6,10,3,2,21.0,88.54,1002.0,23.0,cv,2.0,0.0,0.0,7.0
21388,21389,2012,6,10,4,2,22.0,94.12,1002.0,23.0,cv,3.0,0.0,0.0,10.0
21389,21390,2012,6,10,5,2,21.0,88.54,1002.0,23.0,cv,3.0,0.0,0.0,17.0
21390,21391,2012,6,10,6,2,21.0,88.54,1002.0,23.0,cv,3.0,0.0,0.0,8.0
21391,21392,2012,6,10,7,2,22.0,94.12,1002.0,23.0,cv,3.0,0.1,0.1,16.0
21392,21393,2012,6,10,8,2,21.0,83.37,1003.1,24.0,cv,3.0,0.0,0.0,10.0
21393,21394,2012,6,10,9,2,22.0,88.62,1003.1,24.0,cv,3.0,0.0,0.0,5.0
21394,21395,2012,6,10,10,2,22.0,83.48,1003.1,25.0,SW,3.0,0.0,0.0,8.0
21395,21396,2012,6,10,11,2,20.0,69.6,1003.1,26.0,SW,6.0,0.0,0.0,6.0
21396,21397,2012,6,10,12,2,20.0,61.9,1003.1,28.0,cv,2.0,0.0,0.0,3.0
21397,21398,2012,6,10,13,2,16.0,42.9,1002.0,30.0,SW,2.0,0.0,0.0,3.0
21398,21399,2012,6,10,14,2,13.0,33.39,1001.0,31.0,SW,4.0,0.0,0.0,6.0
21399,21400,2012,6,10,15,2,14.0,31.83,1001.0,33.0,SE,2.0,0.0,0.0,3.0
21400,21401,2012,6,10,16,2,14.0,33.67,1000.0,32.0,SW,2.0,0.0,0.0,3.0
21401,21402,2012,6,10,17,2,15.0,35.91,1000.0,32.0,SW,5.0,0.0,0.0,8.0
21402,21403,2012,6,10,18,2,13.0,33.39,1000.0,31.0,SW,8.0,0.0,0.0,9.0
21403,21404,2012,6,10,19,2,15.0,40.24,1000.0,30.0,cv,1.0,0.0,0.0,10.0
21404,21405,2012,6,10,20,2,19.0,58.17,1000.0,28.0,SW,2.0,0.0,0.0,8.0
21405,21406,2012,6,10,21,2,20.0,65.62,1001.0,27.0,SW,4.0,0.0,0.0,19.0
21406,21407,2012,6,10,22,2,20.0,69.6,1002.0,26.0,cv,2.0,0.0,0.0,8.0
21408,21409,2012,6,11,0,2,21.0,78.53,1002.0,25.0,cv,1.0,0.0,0.0,5.0
21409,21410,2012,6,11,1,2,21.0,78.53,1002.0,25.0,cv,1.0,1.1,1.1,1.0
21410,21411,2012,6,11,2,2,22.0,88.62,1002.0,24.0,NW,2.0,0.2,1.3,19.0
21411,21412,2012,6,11,3,2,21.0,83.37,1002.0,24.0,SW,4.0,0.0,0.0,15.0
21412,21413,2012,6,11,4,2,22.0,88.62,1002.0,24.0,NE,2.0,0.0,0.0,17.0
21413,21414,2012,6,11,5,2,22.0,88.62,1002.0,24.0,NW,1.0,0.0,0.0,8.0
21414,21415,2012,6,11,6,2,17.0,69.01,1003.1,23.0,NW,3.0,0.0,0.0,1.0
21416,21417,2012,6,11,8,2,16.0,64.76,1004.1,23.0,cv,0.0,0.0,0.0,5.0
21417,21418,2012,6,11,9,2,15.0,57.2,1005.1,24.0,cv,1.0,0.0,0.0,5.0
21418,21419,2012,6,11,10,2,16.0,57.44,1005.1,25.0,cv,2.0,0.0,0.0,3.0
21895,21896,2012,7,1,7,2,22.0,94.12,1006.1,23.0,SW,1.0,0.0,0.0,51.0
21896,21897,2012,7,1,8,2,22.0,94.12,1007.1,23.0,cv,0.0,0.0,0.0,51.0
21897,21898,2012,7,1,9,2,22.0,88.62,1008.1,24.0,cv,1.0,0.0,0.0,40.0
21898,21899,2012,7,1,10,2,22.0,88.62,1008.1,24.0,cv,2.0,0.0,0.0,65.0
21899,21900,2012,7,1,11,2,22.0,83.48,1008.1,25.0,cv,2.0,0.0,0.0,64.0
21900,21901,2012,7,1,12,2,22.0,78.68,1008.1,26.0,cv,3.0,0.0,0.0,62.0
21901,21902,2012,7,1,13,2,20.0,65.62,1007.1,27.0,SW,1.0,0.0,0.0,54.0
21902,21903,2012,7,1,14,2,21.0,65.83,1006.1,28.0,cv,0.0,0.0,0.0,62.0
21903,21904,2012,7,1,15,2,20.0,61.9,1005.1,28.0,NE,2.0,0.0,0.0,89.0
21904,21905,2012,7,1,16,2,20.0,61.9,1005.1,28.0,cv,2.0,0.0,0.0,89.0
21905,21906,2012,7,1,17,2,21.0,65.83,1004.1,28.0,NE,4.0,0.0,0.0,41.0
21906,21907,2012,7,1,18,2,21.0,69.79,1004.1,27.0,NE,7.0,0.0,0.0,45.0
21907,21908,2012,7,1,19,2,21.0,69.79,1004.1,27.0,NW,3.0,0.0,0.0,58.0
21908,21909,2012,7,1,20,2,22.0,78.68,1005.1,26.0,cv,1.0,0.0,0.0,59.0
21909,21910,2012,7,1,21,2,22.0,83.48,1005.1,25.0,cv,2.0,0.0,0.0,51.0
21910,21911,2012,7,1,22,2,22.0,83.48,1006.1,25.0,cv,3.0,0.0,0.0,54.0
21912,21913,2012,7,2,0,2,22.0,88.62,1006.1,24.0,NW,1.0,0.0,0.0,45.0
21913,21914,2012,7,2,1,2,22.0,88.62,1005.1,24.0,cv,1.0,0.0,0.0,38.0
21914,21915,2012,7,2,2,2,22.0,88.62,1005.1,24.0,NW,1.0,0.8,0.8,47.0
21915,21916,2012,7,2,3,2,22.0,94.12,1004.1,23.0,NW,2.0,0.2,1.0,45.0
21916,21917,2012,7,2,4,2,22.0,94.12,1003.1,23.0,NW,3.0,0.0,0.0,42.0
21917,21918,2012,7,2,5,2,22.0,94.12,1003.1,23.0,cv,0.0,0.0,0.0,54.0
21918,21919,2012,7,2,6,2,22.0,94.12,1003.1,23.0,cv,0.0,0.0,0.0,59.0
21919,21920,2012,7,2,7,2,22.0,94.12,1003.1,23.0,cv,0.0,1.1,1.1,67.0
21920,21921,2012,7,2,8,2,23.0,94.16,1003.1,24.0,cv,0.0,0.0,0.0,73.0
21921,21922,2012,7,2,9,2,23.0,94.16,1003.1,24.0,cv,0.0,0.0,0.0,85.0
21922,21923,2012,7,2,10,2,23.0,94.16,1003.1,24.0,cv,0.0,0.0,0.0,139.0
21923,21924,2012,7,2,11,2,23.0,88.7,1003.1,25.0,cv,0.0,0.0,0.0,139.0
21924,21925,2012,7,2,12,2,23.0,88.7,1003.1,25.0,NW,1.0,0.5,0.5,121.0
21925,21926,2012,7,2,13,2,23.0,88.7,1002.0,25.0,NW,2.0,0.2,0.7,107.0
21926,21927,2012,7,2,14,2,23.0,88.7,1002.0,25.0,NW,3.0,0.0,0.0,87.0
21927,21928,2012,7,2,15,2,23.0,88.7,1001.0,25.0,NE,3.0,0.0,0.0,69.0
21928,21929,2012,7,2,16,2,24.0,88.78,1001.0,26.0,NE,6.0,0.6,0.6,84.0
21929,21930,2012,7,2,17,2,23.0,83.6,1001.0,26.0,NE,9.0,0.4,1.0,64.0
21930,21931,2012,7,2,18,2,23.0,88.7,1001.0,25.0,NW,4.0,0.2,1.2,38.0
21931,21932,2012,7,2,19,2,23.0,94.16,1001.0,24.0,NW,6.0,0.4,1.6,35.0
21932,21933,2012,7,2,20,2,23.0,94.16,1002.0,24.0,NW,8.0,0.1,1.7,29.0
21933,21934,2012,7,2,21,2,23.0,94.16,1002.0,24.0,cv,2.0,0.0,0.0,28.0
21934,21935,2012,7,2,22,2,23.0,94.16,1003.1,24.0,NW,1.0,0.0,0.0,44.0
21935,21936,2012,7,2,23,2,23.0,94.16,1003.1,24.0,cv,1.0,0.0,0.0,27.0
21936,21937,2012,7,3,0,2,22.0,88.62,1002.0,24.0,cv,2.0,0.0,0.0,23.0
21937,21938,2012,7,3,1,2,22.0,94.12,1001.0,23.0,NW,1.0,0.0,0.0,29.0
21938,21939,2012,7,3,2,2,22.0,94.12,1001.0,23.0,cv,0.0,0.0,0.0,41.0
21939,21940,2012,7,3,3,2,22.0,88.62,1001.0,24.0,cv,2.0,0.0,0.0,46.0
21940,21941,2012,7,3,4,2,22.0,88.62,1000.0,24.0,cv,3.0,0.0,0.0,33.0
21941,21942,2012,7,3,5,2,22.0,88.62,1001.0,24.0,cv,4.0,0.0,0.0,32.0
21942,21943,2012,7,3,6,2,22.0,88.62,1001.0,24.0,cv,4.0,0.0,0.0,41.0
21943,21944,2012,7,3,7,2,22.0,88.62,1001.0,24.0,cv,5.0,0.0,0.0,41.0
21944,21945,2012,7,3,8,2,23.0,94.16,1001.0,24.0,cv,7.0,0.0,0.0,56.0
21945,21946,2012,7,3,9,2,23.0,94.16,1001.0,24.0,NW,2.0,0.0,0.0,65.0
21946,21947,2012,7,3,10,2,23.0,88.7,1002.0,25.0,NW,5.0,0.0,0.0,51.0
21947,21948,2012,7,3,11,2,23.0,83.6,1001.0,26.0,NE,3.0,0.0,0.0,60.0
21948,21949,2012,7,3,12,2,23.0,78.82,1001.0,27.0,NE,5.0,0.0,0.0,53.0
21949,21950,2012,7,3,13,2,23.0,74.35,1001.0,28.0,NE,8.0,0.0,0.0,53.0
21950,21951,2012,7,3,14,2,22.0,69.98,1000.0,28.0,NE,11.0,0.0,0.0,51.0
21951,21952,2012,7,3,15,2,21.0,65.83,1000.0,28.0,NE,14.0,0.0,0.0,69.0
21952,21953,2012,7,3,16,2,22.0,69.98,999.0,28.0,NW,2.0,0.0,0.0,36.0
21953,21954,2012,7,3,17,2,23.0,78.82,999.0,27.0,NW,5.0,0.0,0.0,22.0
21954,21955,2012,7,3,18,2,23.0,83.6,999.0,26.0,NE,4.0,0.0,0.0,25.0
21955,21956,2012,7,3,19,2,23.0,83.6,999.0,26.0,NE,7.0,0.0,0.0,31.0
21956,21957,2012,7,3,20,2,23.0,83.6,999.0,26.0,cv,2.0,0.0,0.0,34.0
21957,21958,2012,7,3,21,2,23.0,83.6,999.0,26.0,NE,3.0,0.0,0.0,38.0
21958,21959,2012,7,3,22,2,23.0,88.7,1000.0,25.0,cv,2.0,0.0,0.0,39.0
21959,21960,2012,7,3,23,2,23.0,88.7,1001.0,25.0,cv,3.0,0.0,0.0,43.0
21960,21961,2012,7,4,0,2,23.0,94.16,1000.0,24.0,NW,1.0,0.6,0.6,30.0
21961,21962,2012,7,4,1,2,23.0,94.16,1000.0,24.0,cv,2.0,0.1,0.7,11.0
21962,21963,2012,7,4,2,2,22.0,94.12,1000.0,23.0,NE,3.0,0.0,0.0,15.0
21963,21964,2012,7,4,3,2,21.0,94.07,999.0,22.0,cv,1.0,0.1,0.1,29.0
21964,21965,2012,7,4,4,2,21.0,94.07,999.0,22.0,cv,1.0,0.0,0.0,19.0
21965,21966,2012,7,4,5,2,22.0,94.12,1000.0,23.0,NE,5.0,0.7,0.7,22.0
21966,21967,2012,7,4,6,2,22.0,94.12,1000.0,23.0,cv,0.0,0.0,0.0,22.0
21967,21968,2012,7,4,7,2,22.0,94.12,1000.0,23.0,cv,1.0,0.0,0.0,28.0
21968,21969,2012,7,4,8,2,22.0,94.12,1000.0,23.0,cv,1.0,1.1,1.1,29.0
21969,21970,2012,7,4,9,2,22.0,88.62,1001.0,24.0,cv,1.0,0.3,1.4,37.0
21970,21971,2012,7,4,10,2,23.0,94.16,1001.0,24.0,cv,3.0,0.2,1.6,44.0
21971,21972,2012,7,4,11,2,23.0,83.6,1002.0,26.0,cv,5.0,0.0,0.0,49.0
21972,21973,2012,7,4,12,2,23.0,83.6,1002.0,26.0,SW,3.0,0.0,0.0,52.0
21973,21974,2012,7,4,13,2,22.0,74.19,1001.0,27.0,SW,6.0,0.0,0.0,38.0
21974,21975,2012,7,4,14,2,22.0,69.98,1001.0,28.0,SW,10.0,0.0,0.0,18.0
21975,21976,2012,7,4,15,2,22.0,66.04,1000.0,29.0,SW,14.0,0.0,0.0,21.0
21976,21977,2012,7,4,16,2,18.0,45.99,999.0,31.0,SW,19.0,0.0,0.0,24.0
21977,21978,2012,7,4,17,2,18.0,45.99,999.0,31.0,SW,24.0,0.0,0.0,21.0
21978,21979,2012,7,4,18,2,18.0,51.57,999.0,29.0,SW,27.0,0.0,0.0,24.0
21979,21980,2012,7,4,19,2,18.0,54.65,999.0,28.0,SW,30.0,0.0,0.0,23.0
21980,21981,2012,7,4,20,2,18.0,57.93,1000.0,27.0,SE,2.0,0.0,0.0,30.0
21981,21982,2012,7,4,21,2,19.0,65.41,1000.0,26.0,SE,4.0,0.0,0.0,34.0
21982,21983,2012,7,4,22,2,21.0,78.53,1001.0,25.0,cv,0.0,0.0,0.0,48.0
21983,21984,2012,7,4,23,2,21.0,83.37,1001.0,24.0,cv,0.0,0.0,0.0,60.0
21984,21985,2012,7,5,0,2,22.0,94.12,1002.0,23.0,cv,0.0,0.0,0.0,51.0
21985,21986,2012,7,5,1,2,22.0,94.12,1001.0,23.0,cv,1.0,0.0,0.0,49.0
21986,21987,2012,7,5,2,2,21.0,88.54,1001.0,23.0,SW,1.0,0.0,0.0,52.0
21987,21988,2012,7,5,3,2,22.0,94.12,1001.0,23.0,cv,1.0,0.0,0.0,56.0
21988,21989,2012,7,5,4,2,21.0,88.54,1001.0,23.0,cv,1.0,0.0,0.0,53.0
21989,21990,2012,7,5,5,2,20.0,88.45,1001.0,22.0,cv,1.0,0.0,0.0,56.0
21990,21991,2012,7,5,6,2,20.0,88.45,1001.0,22.0,cv,1.0,0.0,0.0,65.0
21991,21992,2012,7,5,7,2,22.0,94.12,1002.0,23.0,cv,2.0,0.0,0.0,70.0
21992,21993,2012,7,5,8,2,22.0,78.68,1002.0,26.0,cv,3.0,0.0,0.0,50.0
21993,21994,2012,7,5,9,2,21.0,69.79,1003.1,27.0,SW,2.0,0.0,0.0,47.0
21994,21995,2012,7,5,10,2,19.0,54.9,1003.1,29.0,SW,4.0,0.0,0.0,26.0
21995,21996,2012,7,5,11,2,18.0,48.69,1003.1,30.0,SW,7.0,0.0,0.0,17.0
21996,21997,2012,7,5,12,2,17.0,43.18,1003.1,31.0,SW,10.0,0.0,0.0,19.0
21997,21998,2012,7,5,13,2,18.0,41.08,1003.1,33.0,SE,2.0,0.0,0.0,18.0
21998,21999,2012,7,5,14,2,20.0,44.01,1002.0,34.0,SE,5.0,0.0,0.0,20.0
21999,22000,2012,7,5,15,2,16.0,34.23,1002.0,34.0,SW,3.0,0.0,0.0,23.0
22000,22001,2012,7,5,16,2,17.0,36.48,1001.0,34.0,SW,6.0,0.0,0.0,29.0
22001,22002,2012,7,5,17,2,18.0,36.76,1001.0,35.0,SE,3.0,0.0,0.0,26.0
22002,22003,2012,7,5,18,2,18.0,38.85,1001.0,34.0,SW,3.0,0.0,0.0,27.0
22003,22004,2012,7,5,19,2,18.0,41.08,1001.0,33.0,SW,4.0,0.0,0.0,34.0
22004,22005,2012,7,5,20,2,19.0,48.96,1001.0,31.0,SE,2.0,0.0,0.0,38.0
22005,22006,2012,7,5,21,2,20.0,55.15,1002.0,30.0,SE,4.0,0.0,0.0,40.0
22006,22007,2012,7,5,22,2,20.0,58.42,1003.1,29.0,SE,6.0,0.0,0.0,40.0
22007,22008,2012,7,5,23,2,21.0,62.13,1003.1,29.0,SE,8.0,0.0,0.0,34.0
22008,22009,2012,7,6,0,2,20.0,61.9,1003.1,28.0,SE,10.0,0.0,0.0,35.0
22009,22010,2012,7,6,1,2,21.0,74.02,1003.1,26.0,cv,0.0,0.0,0.0,35.0
22010,22011,2012,7,6,2,2,22.0,83.48,1002.0,25.0,cv,0.0,0.0,0.0,37.0
22011,22012,2012,7,6,3,2,22.0,83.48,1002.0,25.0,cv,0.0,0.0,0.0,30.0
22012,22013,2012,7,6,4,2,22.0,83.48,1001.0,25.0,cv,0.0,0.0,0.0,31.0
22013,22014,2012,7,6,5,2,22.0,83.48,1001.0,25.0,SW,1.0,0.0,0.0,30.0
22014,22015,2012,7,6,6,2,22.0,83.48,1001.0,25.0,cv,0.0,0.0,0.0,39.0
22015,22016,2012,7,6,7,2,22.0,83.48,1002.0,25.0,cv,0.0,0.0,0.0,35.0
22016,22017,2012,7,6,8,2,22.0,74.19,1001.0,27.0,SW,1.0,0.0,0.0,34.0
22017,22018,2012,7,6,9,2,21.0,58.65,1001.0,30.0,SE,1.0,0.0,0.0,34.0
22018,22019,2012,7,6,10,2,21.0,58.65,1001.0,30.0,cv,1.0,0.0,0.0,39.0
22019,22020,2012,7,6,11,2,21.0,52.35,1001.0,32.0,cv,2.0,0.0,0.0,33.0
22020,22021,2012,7,6,12,2,20.0,52.09,1000.0,31.0,cv,3.0,0.0,0.0,36.0
22021,22022,2012,7,6,13,2,22.0,58.89,1000.0,31.0,cv,4.0,0.0,0.0,35.0
